full_name,pha,diameter,rot_per,e [rad],a [au],I [deg],L [deg],long.node.  [deg],long.peri.  [deg],ma,n,per_y
  4341 Poseidon (1987 KF),N,3.177,6.262,0.68,1.834,11.84,167.9,108.03,15.83,44.04,0.3968,2.48
  4450 Pan (1987 SY),Y,,56.48,0.5866,1.443,5.52,795.81,311.7,291.94,192.17,0.5689,1.73
  4486 Mithra (1987 SB),Y,1.849,67.5,0.662,2.205,3.04,407.91,82.18,169.12,156.61,0.3009,3.28
  4544 Xanthus (1989 FB),N,1.3,37.65,0.2501,1.042,14.14,712.28,23.95,333.83,354.5,0.9267,1.06
  4581 Asclepius (1989 FC),Y,,8.008,0.357,1.023,4.92,647.7,180.2,255.38,212.12,0.9531,1.03
  4660 Nereus (1982 DB),Y,0.33,15.1749,0.3587,1.485,1.45,664.61,313.11,159.54,191.96,0.5446,1.81
  4769 Castalia (1989 PB),Y,1.4,4.095,0.4832,1.063,8.88,771.06,325.51,121.44,324.11,0.8992,1.1
  4953 (1990 MU),Y,,14.218,0.6574,1.621,24.38,440.48,77.53,77.93,285.02,0.4774,2.06
  5011 Ptah (6743 P-L),Y,,56.3,0.5001,1.636,7.41,290.23,10.63,105.94,173.66,0.471,2.09
  5131 (1990 BG),N,,37.2,0.5692,1.486,36.44,604.3,110.34,135.87,358.09,0.5441,1.81
  5143 Heracles (1991 VL),N,4.843,2.7063,0.771,1.835,8.98,582.8,309.09,228.22,45.49,0.3965,2.49
  5189 (1990 UQ),Y,,6.653,0.4783,1.552,3.58,552.64,135.05,159.95,257.64,0.51,1.93
  5496 (1973 NA),N,,2.855,0.635,2.435,68,414.47,101.04,117.98,195.45,0.2594,3.8
  5645 (1990 SP),N,1.668,30.39,0.3873,1.355,13.51,258.49,45.71,48.27,164.51,0.6251,1.58
  5660 (1974 MA),N,,17.5,0.7621,1.785,38.14,787.24,302.12,127.04,358.08,0.4132,2.39
  5693 (1993 EA),Y,,2.496,0.5851,1.271,5.06,559.1,96.98,258.98,203.14,0.6882,1.43
  5731 Zeus (1988 VP4),N,5.231,,0.6521,2.266,11.2,665.3,280.59,218.43,166.28,0.289,3.41
  5786 Talos (1991 RC),N,,23.6,0.8268,1.081,23.22,447.23,161.28,8.39,277.56,0.8763,1.12
  5828 (1991 AM),N,1.457,2.6666,0.6949,1.698,30.12,335.83,125.42,152.77,57.64,0.4454,2.21
  6037 (1988 EG),Y,,2.7602,0.4997,1.272,3.51,674.22,182.18,242.32,249.72,0.6874,1.43
  6047 (1991 TB1),N,,,0.3521,1.455,23.47,352.29,6.07,103.82,242.4,0.5619,1.75
  6053 (1993 BW3),N,3.72,2.573,0.5287,2.147,21.58,475.21,318.23,74.93,82.05,0.3134,3.15
  6063 Jason (1984 KB),N,1.4,48.6,0.7622,2.22,4.96,606.54,169.03,337.61,99.9,0.2979,3.31
  6239 Minos (1989 QF),Y,,3.5558,0.4126,1.151,3.94,808.8,344.53,239.77,224.5,0.7982,1.23
  6455 (1992 HE),N,4.626,2.7361,0.5728,2.24,37.34,519.72,26.89,262.75,230.08,0.294,3.35
  6489 Golevka (1991 JX),Y,0.53,6.026,0.6151,2.484,2.27,429.96,209.42,68.66,151.88,0.2518,3.91
  6611 (1993 VW),N,1.408,2.5568,0.4846,1.696,8.7,827.39,230.77,281.59,315.03,0.4461,2.21
  7025 (1993 QA),N,0.498,2.5057,0.315,1.476,12.61,484.79,146.59,323.45,14.75,0.5498,1.79
  7092 Cadmus (1992 LC),N,6.319,,0.6935,2.545,17.79,182.04,56.72,94.77,30.55,0.2427,4.06
  7335 (1989 JA),Y,1.8,2.58988,0.4846,1.772,15.17,642.72,61.28,232.27,349.17,0.4178,2.36
  7341 (1991 VK),Y,0.982,4.2096,0.5061,1.841,5.41,506.1,294.73,173.48,37.89,0.3944,2.5
  7350 (1993 VA),N,1.921,3.58264,0.3911,1.356,7.26,653.5,133.05,336.7,183.75,0.6242,1.58
  7482 (1994 PC1),Y,1.052,2.5999,0.3294,1.349,33.47,411.9,117.85,47.49,246.56,0.6293,1.57
  7753 (1988 XB),Y,,42.2,0.4817,1.467,3.12,449.32,73.39,280.08,95.85,0.5545,1.78
  7822 (1991 CS),Y,1.602,2.3896,0.1646,1.123,37.12,588.64,156.84,249.45,182.35,0.8285,1.19
  7888 (1993 UC),N,2.298,2.337,0.6631,2.438,26.07,513.04,165.89,323.01,24.14,0.2589,3.81
  7889 (1994 LX),N,1.68,2.741,0.3463,1.262,36.91,797.54,111.26,349.18,337.1,0.6956,1.42
  8014 (1990 MF),Y,0.7,50.09,0.456,1.747,1.87,616.05,209.84,114.73,291.48,0.4268,2.31
  8035 (1992 TB),N,,,0.4624,1.342,28.3,205.43,185.61,6.12,13.7,0.6339,1.55
  8176 (1991 WA),N,,7.111,0.6432,1.575,39.59,569.23,66.51,241.88,260.84,0.4987,1.98
  8201 (1994 AH2),N,1.859,23.949,0.7061,2.539,9.54,388.74,164.09,25.13,199.52,0.2436,4.05
  8507 (1991 CB1),N,,,0.5944,1.687,14.58,672.6,317.41,345.77,9.42,0.4497,2.19
  8566 (1996 EN),Y,1.568,4.845,0.4302,1.506,37.97,379.36,164.12,125.13,90.11,0.5331,1.85
  9058 (1992 JB),N,,,0.3596,1.557,16.09,810.26,218.3,307.06,284.9,0.5074,1.94
  9162 Kwiila (1987 OA),N,1.127,15.13,0.5956,1.497,9.01,493.13,179.99,235.83,77.31,0.5383,1.83
  9202 (1993 PB),N,1.617,,0.6078,1.424,40.8,753.3,315.89,212.36,225.05,0.5802,1.7
  9856 (1991 EE),Y,1,3.045,0.6258,2.242,9.83,598.9,168.11,116.18,314.61,0.2935,3.36
 10115 (1992 SK),Y,0.938,7.319,0.325,1.249,15.32,327.12,8.89,233.69,84.54,0.7065,1.4
 10145 (1994 CK1),N,,49.2892,0.6326,1.901,4.55,704.22,328.38,27.45,348.39,0.376,2.62
 10165 (1995 BL2),N,0.829,,0.5037,1.235,23.9,752.59,312.42,348.46,91.71,0.7184,1.37
 10563 Izhdubar (1993 WD),N,,,0.2662,1.007,63.47,295.58,56.56,132.2,106.82,0.9756,1.01
 10636 (1998 QK56),N,0.533,9.876,0.5129,1.884,13.58,818.48,172.93,286.31,359.24,0.381,2.59
 11066 Sigurd (1992 CC1),N,2.104,8.4958,0.3754,1.392,36.88,446.4,349.22,22.03,75.15,0.6004,1.64
 11311 Peleus (1993 XN2),N,,,0.5359,2.117,25.49,399.28,59.32,313.45,26.51,0.32,3.08
 11405 (1999 CV3),N,3.621,6.504,0.3939,1.46,22.86,391.55,141.25,96.4,153.9,0.5589,1.76
 11500 Tomaiyowit (1989 UR),Y,0.738,73,0.3558,1.08,10.31,847.52,234.39,289.52,323.61,0.8783,1.12
 11885 Summanus (1990 SS),N,1.298,7.368,0.4744,1.703,19.43,535.33,359.78,116.2,59.35,0.4434,2.22
 12538 (1998 OH),Y,1.663,2.575,0.4058,1.542,24.54,859.52,220.69,321.79,317.04,0.5149,1.91
 12711 Tukmit (1991 BB),N,,3.4848,0.2722,1.186,38.49,909.12,294.96,322.88,291.28,0.7629,1.29
 12923 Zephyr (1999 GK4),Y,2.06,3.893,0.4918,1.963,5.3,366.86,168.17,147.13,51.56,0.3584,2.75
 13651 (1997 BR),Y,0.562,33.644,0.3057,1.335,17.25,513.11,116.63,133.86,262.62,0.6386,1.54
 14827 Hypnos (1986 JK),Y,0.9,,0.6649,2.841,1.98,317.75,57.93,238.19,21.63,0.2058,4.79
 16816 (1997 UF9),N,,2.449,0.6038,1.442,25.92,290.61,37.14,158.01,95.46,0.5689,1.73
 16834 (1997 WU22),N,1.87,9.345,0.4421,1.468,16,842.63,260.76,334.39,247.48,0.5541,1.78
 16960 (1998 QS52),Y,,2.8985,0.859,2.201,17.52,812.08,260.15,243.25,308.68,0.3019,3.26
 17181 (1999 UM3),N,,,0.674,2.37,10.65,426.26,113.56,36.78,275.92,0.2702,3.65
 17182 (1999 VU),N,2.885,6.61,0.5533,1.387,9.26,562.41,333.48,203.23,25.7,0.6033,1.63
 17188 (1999 WC2),N,1.819,5.0638,0.6369,2.216,29.45,729.45,269.76,287.25,172.44,0.2989,3.3
